'em	() An obsolete or colloquial contraction of the old form hem, them.
'gainst	(prep.) A contraction of Against.
'mongst	(prep.) See Amongst.
'neath	(prep. & adv.) An abbreviation of Beneath.
's	() A contraction for is or (colloquially) for has.
'sblood	(interj.) An abbreviation of God's blood; -- used as an oath.
'sdeath	(interj.) An exclamation expressive of impatience or anger.
'snails	(interj.) God's nails, or His nails, that is, the nails with which the Savior was fastened to the cross; -- an ancient form of oath, corresponding to 'Od's bodikins (dim. of body, i.e., God's dear body).
'swounds	(interj.) An exclamation contracted from God's wounds; -- used as an oath.
't is	() A common contraction of it is.
't was	() A contraction of it was.
'twixt	() An abbreviation of Betwixt, used in poetry, or in colloquial language.
'twixt-brain	(n.) The thalamen/cephalon.
-able	() An adjective suffix now usually in a passive sense; able to be; fit to be; expressing capacity or worthiness in a passive sense; as, movable, able to be moved; amendable, able to be amended; blamable, fit to be blamed; salable.
-ably	() A suffix composed of -able and the adverbial suffix -ly; as, favorably.
-ana	() A suffix to names of persons or places, used to denote a collection of notable sayings, literary gossip, anecdotes, etc. Thus, Scaligerana is a book containing the sayings of Scaliger, Johnsoniana of Johnson, etc.
-ance	() A suffix signifying action; also, quality or state; as, assistance, resistance, appearance, elegance. See -ancy.
-ances	(pl. ) of Discrepancy
-ancies	(pl. ) of Discrepancy
-ancy	() A suffix expressing more strongly than -ance the idea of quality or state; as, constancy, buoyancy, infancy.
-ant	() A suffix sometimes marking the agent for action; as, merchant, covenant, servant, pleasant, etc. Cf. -ent.
-arch	(a.) A suffix meaning a ruler, as in monarch (a sole ruler).
-ard	() Alt. of -art
-art	() The termination of many English words; as, coward, reynard, drunkard, mostly from the French, in which language this ending is of German origin, being orig. the same word as English hard. It usually has the sense of one who has to a high or excessive degree the quality expressed by the root; as, braggart, sluggard.
-ate	() As an ending of participles or participial adjectives it is equivalent to -ed; as, situate or situated; animate or animated.
-ate	() As the ending of a verb, it means to make, to cause, to act, etc.; as, to propitiate (to make propitious); to animate (to give life to).
-ate	() As a noun suffix, it marks the agent; as, curate, delegate. It also sometimes marks the office or dignity; as, tribunate.
-ate	() In chemistry it is used to denote the salts formed from those acids whose names end -ic (excepting binary or halogen acids); as, sulphate from sulphuric acid, nitrate from nitric acid, etc. It is also used in the case of certain basic salts.
-ation	() A suffix forming nouns of action, and often equivalent to the verbal substantive in -ing. It sometimes has the further meanings of state, and that which results from the action. Many of these nouns have verbs in -ate; as, alliterate -ation, narrate -ation; many are derived through the French; as, alteration, visitation; and many are formed on verbs ending in the Greek formative -ize (Fr. -ise); as, civilization, demoralization.
-barrelled	(a.) Having two barrels; -- applied to a gun.
-blast	() A suffix or terminal formative, used principally in biological terms, and signifying growth, formation; as, bioblast, epiblast, mesoblast, etc.
-cae	(pl. ) of Hierotheca
-ces	(pl. ) of Inadvertence
-cies	(pl. ) of Inadvertency
-cies	(pl. ) of Superintendency
-derm	(n.) A suffix or terminal formative, much used in anatomical terms, and signifying skin, integument, covering; as, blastoderm, ectoderm, etc.
-dom	() A suffix denoting
-dom	() Jurisdiction or property and jurisdiction, dominion, as in kingdom earldom.
-dom	() State, condition, or quality of being, as in wisdom, freedom.
-ed	() The termination of the past participle of regular, or weak, verbs; also, of analogous participial adjectives from nouns; as, pigmented; talented.
-ee	() A suffix used, chiefly in law terms, in a passive signification, to indicate the direct or indirect object of an action, or the one to whom an act is done or on whom a right is conferred; as in assignee, donee, alienee, grantee, etc. It is correlative to -or, the agent or doer.
