'em	() An obsolete or colloquial contraction of the old form hem, them.
'gainst	(prep.) A contraction of Against.
'mongst	(prep.) See Amongst.
'neath	(prep. & adv.) An abbreviation of Beneath.
's	() A contraction for is or (colloquially) for has.
'sblood	(interj.) An abbreviation of God's blood; -- used as an oath.
'sdeath	(interj.) An exclamation expressive of impatience or anger.
'snails	(interj.) God's nails, or His nails, that is, the nails with which the Savior was fastened to the cross; -- an ancient form of oath, corresponding to 'Od's bodikins (dim. of body, i.e., God's dear body).
'swounds	(interj.) An exclamation contracted from God's wounds; -- used as an oath.
't is	() A common contraction of it is.
't was	() A contraction of it was.
'twixt	() An abbreviation of Betwixt, used in poetry, or in colloquial language.
'twixt-brain	(n.) The thalamen/cephalon.
-able	() An adjective suffix now usually in a passive sense; able to be; fit to be; expressing capacity or worthiness in a passive sense; as, movable, able to be moved; amendable, able to be amended; blamable, fit to be blamed; salable.
-ably	() A suffix composed of -able and the adverbial suffix -ly; as, favorably.
-ana	() A suffix to names of persons or places, used to denote a collection of notable sayings, literary gossip, anecdotes, etc. Thus, Scaligerana is a book containing the sayings of Scaliger, Johnsoniana of Johnson, etc.
-ance	() A suffix signifying action; also, quality or state; as, assistance, resistance, appearance, elegance. See -ancy.
-ances	(pl. ) of Discrepancy
-ancies	(pl. ) of Discrepancy
-ancy	() A suffix expressing more strongly than -ance the idea of quality or state; as, constancy, buoyancy, infancy.
-ant	() A suffix sometimes marking the agent for action; as, merchant, covenant, servant, pleasant, etc. Cf. -ent.
-arch	(a.) A suffix meaning a ruler, as in monarch (a sole ruler).
